Type,Department,Desk,EID,Hire Date,Job Title,Level,Direct Manager EID,Location,Total Years of Experince within EFG Hermes,Gender,Category,Exit Date
Business Line,Asset Management,Asset Management,1915,1-Jul-15,Associate,Associate,1850,Egypt - Head Office,5 Year(s) 11 Month(s) 0 Days,Female,Officers,31-May-21
Business Line,Asset Management,Asset Management,2530,5-Jul-20,Associate Director,Associate Director,1850,Egypt - Head Office,1 Year(s) 0 Month(s) 26 Days,Male,Officers,31-Jul-21
Business Line,Brokerage,Brokerage,2180,21-Jan-08,Equity Dealer,N/A,2360,Pakistan - Karachi,13 Year(s) 2 Month(s) 12 Days,Male,Officers,2-Apr-21
Business Line,Brokerage,"Brokerage, Branches Mgmt. Customer Service",1170,1-Dec-06,"Associate VP, Customer Service",Associate VP,190,Oman - Muscat,15 Year(s) 1 Month(s) 0 Days,Male,Officers,30-Dec-21
Business Line,Brokerage,"Brokerage, GCC High Net Worth",2402,1-Apr-19,"Associate Director, MENA High Net-Worth Sales",Associate Director,604,Egypt - Head Office,2 Year(s) 1 Month(s) 20 Days,Male,Officers,20-May-21
Business Line,Brokerage,"Brokerage, Global Markets Support",1309,1-May-09,Global Markets Support Lead,Vice President,1034,Egypt - Head Office,12 Year(s) 2 Month(s) 0 Days,Male,Officers,30-Jun-21
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2270,1-Apr-18,Senior Account Officer,Associate VP,136,Egypt - Alex - Somouha,3 Year(s) 2 Month(s) 0 Days,Male,Officers,31-May-21
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1527,28-Feb-10,Senior Account Manager,Associate Director,346,Egypt - Head Office,11 Year(s) 8 Month(s) 1 Days,Male,Officers,31-Oct-21
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1989,15-Jun-16,Account Manager,Vice President,346,Egypt - Head Office,5 Year(s) 4 Month(s) 0 Days,Male,Officers,14-Oct-21
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2275,22-Apr-18,Account Officer,Analyst,399,Egypt - Haram,3 Year(s) 4 Month(s) 9 Days,Male,Officers,31-Aug-21
Business Line,Brokerage,"Brokerage, Local Trading",2280,1-May-18,Broker,Associate,1388,Kuwait - Al Fahaheel,3 Year(s) 2 Month(s) 10 Days,Male,Officers,10-Jul-21
Business Partner,Brokerage Operations,Brokerage Operations,1426,18-Jun-05,Operations Officer,Vice President,799,Kuwait - Head Office,16 Year(s) 2 Month(s) 13 Days,Male,Officers,31-Aug-21
Business Partner,Brokerage Operations,Brokerage Operations,1848,16-Nov-14,Settlements Officer,Associate,1245,KSA - Riyadh,7 Year(s) 0 Month(s) 15 Days,Female,Officers,30-Nov-21
Business Partner,Brokerage Operations,Brokerage Operations,1918,12-Jul-15,Operations Officer,Associate VP,1254,UAE - One Central,5 Year(s) 9 Month(s) 14 Days,Male,Officers,25-Apr-21
Business Partner,Brokerage Operations,Brokerage Operations,1806,1-Feb-14,Trade Support Supervisor,Associate VP,1304,Egypt - Head Office,7 Year(s) 7 Month(s) 0 Days,Female,Officers,31-Aug-21
Business Partner,Brokerage Operations,Brokerage Operations,1820,1-May-14,Settlements Supervisor,Associate VP,1304,Egypt - Head Office,7 Year(s) 3 Month(s) 0 Days,Male,Officers,31-Jul-21
Business Partner,Brokerage Operations,Brokerage Operations,2528,1-Jul-20,Settlements Officer,Analyst,1820,Egypt - Head Office,1 Year(s) 0 Month(s) 12 Days,Male,Officers,12-Jul-21
Business Partner,Compliance,Compliance,566,21-Aug-05,Senior Compliance Officer,Associate VP,362,Kuwait - Head Office,8 Year(s) 6 Month(s) 0 Days,Male,Officers,30-Jun-21
Business Partner,Compliance,Compliance,2128,21-Nov-17,Compliance & MLRO Officer,Associate,635,KSA - Riyadh,3 Year(s) 10 Month(s) 7 Days,Male,Officers,27-Sep-21
Business Partner,Compliance,Compliance,1729,6-May-12,Compliance Senior Manager,Associate Director,1253,UAE - DIFC,9 Year(s) 4 Month(s) 4 Days,Female,Officers,9-Sep-21
Business Partner,Compliance,Compliance,2343,3-Sep-18,Senior Compliance Officer,Associate VP,2221,Pakistan - Karachi,2 Year(s) 8 Month(s) 17 Days,Male,Officers,19-May-21
Business Partner,Compliance,Compliance,2432,1-Aug-19,Senior Compliance Officer,Associate VP,2325,Egypt - Head Office,2 Year(s) 2 Month(s) 24 Days,Female,Officers,24-Oct-21
Business Partner,Compliance,Compliance,2648,15-Oct-21,Senior Compliance Officer,Associate VP,2325,Egypt - Head Office,0 Year(s) 1 Month(s) 16 Days,Male,Officers,30-Nov-21
Business Line,Consumer Finance,CF-BD-Corporate Sales,2342,1-Sep-18,Corporate Sales Senior Team Lead,Associate,2135,Egypt - Head Office,2 Year(s) 4 Month(s) 6 Days,Male,Officers,6-Jan-21
Business Line,Consumer Finance,CF-BD-Merchant Sales,2119,22-Oct-17,Merchant Sales Senior Team Lead,Associate VP,2029,Egypt - Head Office,3 Year(s) 2 Month(s) 19 Days,Male,Officers,10-Jan-21
Business Line,Consumer Finance,CF-BD-Merchant Sales,2339,1-Sep-18,Merchant Sales Senior Executive,Associate,2060,Egypt - Head Office,2 Year(s) 4 Month(s) 13 Days,Female,Officers,13-Jan-21
Business Line,Consumer Finance,CF-BD-Merchant Sales,2579,1-Apr-21,Merchant Sales Manager,Vice President,2135,Egypt - Head Office,0 Year(s) 4 Month(s) 1 Days,Male,Officers,1-Aug-21
Business Line,Consumer Finance,CF-BD-Merchant Support,2312,3-Jul-18,Merchant Support Senior Executive,Associate,2123,Egypt - Head Office,2 Year(s) 8 Month(s) 28 Days,Male,Officers,31-Mar-21
Business Line,Consumer Finance,CF-BD-Sales,2610,1-Jun-21,Branch Sales Manager,Associate VP,2583,Egypt - Head Office,0 Year(s) 2 Month(s) 16 Days,Male,Officers,16-Aug-21
Business Line,Consumer Finance,CF-CBO,2029,1-Jan-17,"CEO, valU",Managing Director,1996,Egypt - Head Office,4 Year(s) 5 Month(s) 0 Days,Male,Officers,31-May-21
Business Line,Consumer Finance,CF-Contact Center & Operations,2347,16-Sep-18,Contact Center & Operations Head,Vice President,1996,Egypt - Head Office,3 Year(s) 2 Month(s) 15 Days,Male,Officers,30-Nov-21
